,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
64,DOCN,"DigitalOcean Holdings, Inc.",,42.95 +2.13 (+5.22%),2.13,+5.22%,1.744M,918076,3.964B,49.94,13.29%,
65,RMBS,Rambus Inc.,,67.75 +3.31 (+5.14%),3.31,+5.14%,1.588M,922359,7.22B,41.06,12.55%,
66,CNTA,Centessa Pharmaceuticals plc,,17.24 +0.83 (+5.06%),0.83,+5.06%,246669,637562,2.273B,-,123.25%,
67,POWL,"Powell Industries, Inc.",,244.85 +11.71 (+5.02%),11.71,+5.02%,341741,500654,2.953B,19.92,78.50%,
68,BE,Bloom Energy Corporation,,24.26 +1.15 (+4.98%),1.15,+4.98%,5.361M,9.33M,5.545B,-,108.58%,
69,RELY,"Remitly Global, Inc.",,25.41 +1.20 (+4.96%),1.2,+4.96%,2.484M,1.669M,5.033B,-,33.26%,
70,SAIA,"Saia, Inc.",,503.01 +23.74 (+4.95%),23.74,+4.95%,373102,367833,13.378B,37.20,-12.24%,
71,ANYYY,"Aena S.M.E., S.A.",,22.16 +1.03 (+4.87%),1.03,+4.87%,26840,48805,33.24B,16.54,17.09%,
72,NTDOY,"Nintendo Co., Ltd.",,17.26 +0.80 (+4.86%),0.8,+4.86%,530207,1.465M,81.856B,39.23,16.44%,
73,IONS,"Ionis Pharmaceuticals, Inc.",,33.17 +1.53 (+4.84%),1.53,+4.84%,1.523M,1.569M,5.237B,-,-35.14%,
74,THG,"The Hanover Insurance Group, Inc.",,160.23 +7.28 (+4.76%),7.28,+4.76%,507999,183193,5.774B,15.88,17.99%,
75,FIX,"Comfort Systems USA, Inc.",,445.29 +20.23 (+4.76%),20.23,+4.76%,388468,377438,15.849B,34.12,84.11%,
76,ALAB,"Astera Labs, Inc.",,106.57 +4.84 (+4.76%),4.84,+4.76%,3.247M,5.126M,16.903B,-,58.18%,
77,SIRI,Sirius XM Holdings Inc.,,25.79 +1.17 (+4.75%),1.17,+4.75%,7.757M,5.621M,8.737B,-,-52.66%,
78,AMKBY,A.P. Møller - Mærsk A/S,,7.86 +0.35 (+4.66%),0.35,+4.66%,330808,190233,23.605B,6.78,-22.96%,
79,SRRK,Scholar Rock Holding Corporation,,41.89 +1.86 (+4.66%),1.86,+4.66%,563195,1.078M,3.922B,-,150.00%,
80,ACAD,ACADIA Pharmaceuticals Inc.,,19.60 +0.87 (+4.64%),0.87,+4.64%,1.663M,2.485M,3.261B,25.13,-26.58%,
81,MOG-A,Moog Inc.,,193.33 +8.51 (+4.60%),8.51,+4.60%,221705,160247,6.086B,29.47,27.19%,
82,ONTO,Onto Innovation Inc.,,209.70 +9.15 (+4.56%),9.15,+4.56%,715013,802838,10.357B,56.83,25.66%,
83,RVMD,"Revolution Medicines, Inc.",,44.25 +1.93 (+4.56%),1.93,+4.56%,1.494M,1.611M,8.177B,-,40.33%,
84,ELAN,Elanco Animal Health Incorporated,,12.03 +0.52 (+4.52%),0.52,+4.52%,7.216M,4.695M,5.947B,29.34,-25.73%,
85,TARS,"Tarsus Pharmaceuticals, Inc.",,56.94 +2.44 (+4.48%),2.44,+4.48%,421154,658520,2.177B,-,82.17%,
86,BNTX,BioNTech SE,,122.38 +5.24 (+4.47%),5.24,+4.47%,764422,840110,29.339B,-,26.06%,
87,CRDO,Credo Technology Group Holding Ltd,,79.59 +3.34 (+4.38%),3.34,+4.38%,4.479M,4.568M,13.311B,-,242.28%,
88,JHG,Janus Henderson Group plc,,45.94 +1.92 (+4.36%),1.92,+4.36%,1.63M,993438,7.302B,17.95,44.73%,
89,RKT,"Rocket Companies, Inc.",,12.70 +0.53 (+4.35%),0.53,+4.35%,3.038M,3.473M,25.239B,-,6.00%,
90,AVGO,Broadcom Inc.,,232.00 +9.57 (+4.30%),9.57,+4.30%,28.923M,32.732M,1.087T,179.84,73.21%,
91,SRPT,"Sarepta Therapeutics, Inc.",,119.02 +4.94 (+4.33%),4.94,+4.33%,725863,976676,11.369B,77.29,-9.71%,
92,MAKSY,Marks and Spencer Group plc,,9.02 +0.37 (+4.28%),0.37,+4.28%,16999,116311,9.109B,15.03,38.50%,
93,CRSP,CRISPR Therapeutics AG,,42.22 +1.73 (+4.27%),1.73,+4.27%,1.829M,1.942M,3.604B,-,-39.14%,
94,HMC,"Honda Motor Co., Ltd.",,28.70 +1.16 (+4.21%),1.16,+4.21%,1.876M,1.608M,43.22B,7.27,-22.99%,
95,EDVMF,Endeavour Mining plc,,22.00 +0.88 (+4.17%),0.88,+4.17%,19308,26533,5.346B,-,22.38%,
96,TM,Toyota Motor Corporation,,195.35 +7.79 (+4.15%),7.79,+4.15%,561134,408820,255.828B,9.57,-17.66%,
97,IFNNY,Infineon Technologies AG,,37.18 +1.48 (+4.15%),1.48,+4.15%,29580,271133,48.303B,33.80,-7.29%,
98,MIRM,"Mirum Pharmaceuticals, Inc.",,52.28 +2.07 (+4.12%),2.07,+4.12%,761783,447861,2.51B,-,81.58%,
99,NVS,Novartis AG,,109.81 +4.34 (+4.11%),4.34,+4.11%,2.644M,1.421M,216.885B,18.71,1.95%,
100,IDYA,"IDEAYA Biosciences, Inc.",,25.10 +0.99 (+4.11%),0.99,+4.11%,618137,940815,2.169B,-,-45.67%,
